# Ghidra 11.4.1 - suspicious path/registry/network strings in KG.exe
# Total suspicious: 507
# Total decompiled funcs: 6

[02ee8697] (13 bytes) Advapi32.dll
[02ee86a4] (12 bytes) shlwapi.dll
[02eeadf1] (2643 bytes) <svg width="853" height="853" xmlns="http://www.w3.org/2000/svg" version="1.1" class="icon">
 <g>
  <title>Layer 1</title>
  <rect fill="#ffffff" x="22" y="28" width="785.00001" height="775.00001" id="svg_3" stroke="#000" stroke-width="0" fill-opacity="0.7"/>
  <path id="svg_1" d="m74.66667,0l704,0a74.66667,74.66667 0 0 1 74.66667,74.66667l0,704a74.66667,74.66667 0 0 1 -74.66667,74.66667l-704,0a74.66667,74.66667 0 0 1 -74.66667,-74.66667l0,-704a74.66667,74.66667 0 0 1 74.66667,-74.66667zm0,64a10.66667,10.66667 0 0 0 -10.66667,10.66667l0,704a10.66667,10.66667 0 0 0 10.66667,10.66667l704,0a10.66667,10.66667 0 0 0 10.66667,-10.66667l0,-704a10.66667,10.66667 0 0 0 -10.66667,-10.66667l-704,0zm118.18667,342.31467l150.82666,150.848a10.66667,10.66667 0 0 0 15.104,0l301.696,-301.696a32,32 0 1 1 45.248,45.26933l-301.67466,301.696a74.66667,74.66667 0 0 1 -105.6,0l-150.82667,-150.848a32,32 0 1 1 45.22667,-45.26933z" fill="#666666"/>
 </g>

</svg><svg xmlns="http://www.w3.org/2000/svg" width="796" height="796" class="icon" viewBox="0 0 796 796">
 <g>
  <title>Layer 1</title>
  <rect fill-opacity="0.7" stroke-width="0" stroke="#000" id="svg_3" height="775.00001" width="785.00001" y="28" x="22" fill="#ffffff"/>
  <path id="svg_1" d="m56.87855,56.87855l0,682.72869l682.72869,0l0,-682.72869l-682.72869,0zm0,-56.87855l682.72869,0c31.41821,0 56.87854,25.46037 56.87854,56.87855l0,682.72869c0,31.41821 -25.46033,56.87854 -56.87854,56.87854l-682.72869,0a56.87855,56.87855 0 0 1 -56.87855,-56.87854l0,-682.72869c0,-31.41818 25.46037,-56.87855 56.87855,-56.87855zm108.63709,165.51564m46.54546,0l372.36365,0q46.54547,0 46.54547,46.54546l0,372.36365q0,46.54541 -46.54547,46.54541l-372.36365,0q-46.54546,0 -46.54546,-46.54541l0,-372.36365q0,-46.54546 46.54546,-46.54546z" fill="#25affe"/>
 </g>

</svg><svg width="796" height="796" xmlns="http://www.w3.org/2000/svg" class="icon" version="1.1">
 <g>
  <title>Layer 1</title>
     <rect fill="#ffffff" x="22" y="28" width="785.00001" height="775.00001" id="svg_3" stroke="#000" stroke-width="0" fill-opacity="0.7"/>
  <path fill="#666666" d="m56.87855,56.87855l0,682.72872l682.72872,0l0,-682.72872l-682.72872,0zm0,-56.87855l682.72872,0c31.41819,0 56.87855,25.46037 56.87855,56.87855l0,682.72872c0,31.41819 -25.46036,56.87855 -56.87855,56.87855l-682.72872,0a56.87855,56.87855 0 0 1 -56.87855,-56.87855l0,-682.72872c0,-31.41818 25.46037,-56.87855 56.87855,-56.87855zm108.63709,165.51564m46.54545,0l372.36364,0q46.54545,0 46.54545,46.54545l0,372.36364q0,46.54545 -46.54545,46.54545l-372.36364,0q-46.54545,0 -46.54545,-46.54545l0,-372.36364q0,-46.54545 46.54545,-46.54545z" id="svg_1"/>
 </g>

</svg>
[02eecfba] (2642 bytes) <svg width="853" height="853" xmlns="http://www.w3.org/2000/svg" version="1.1" class="icon">
 <g>
  <title>Layer 1</title>
  <rect fill="#ffffff" x="22" y="28" width="785.00001" height="775.00001" id="svg_3" stroke="#000" stroke-width="0" fill-opacity="0.7"/>
  <path id="svg_1" d="m74.66667,0l704,0a74.66667,74.66667 0 0 1 74.66667,74.66667l0,704a74.66667,74.66667 0 0 1 -74.66667,74.66667l-704,0a74.66667,74.66667 0 0 1 -74.66667,-74.66667l0,-704a74.66667,74.66667 0 0 1 74.66667,-74.66667zm0,64a10.66667,10.66667 0 0 0 -10.66667,10.66667l0,704a10.66667,10.66667 0 0 0 10.66667,10.66667l704,0a10.66667,10.66667 0 0 0 10.66667,-10.66667l0,-704a10.66667,10.66667 0 0 0 -10.66667,-10.66667l-704,0zm118.18667,342.31467l150.82666,150.848a10.66667,10.66667 0 0 0 15.104,0l301.696,-301.696a32,32 0 1 1 45.248,45.26933l-301.67466,301.696a74.66667,74.66667 0 0 1 -105.6,0l-150.82667,-150.848a32,32 0 1 1 45.22667,-45.26933z" fill="#666666"/>
 </g>

